"","k","y","u"
"253",253,1.3855025446133,2
"254",254,1.01313580944535,2
"255",255,0.931797659502492,2
"256",256,1.22515601978824,-2
"257",257,-3.45994040044024,-2
"258",258,0.996562877579481,-2
"259",259,-2.54590775669557,-2
"260",260,0.0663677386262274,-2
"261",261,-1.62807475661582,-2
"262",262,-1.03834486454585,-2
"263",263,-0.701571119347403,-2
"264",264,-1.78589634640324,-2
"265",265,-0.199721924584327,-2
"266",266,-1.66528180872326,2
"267",267,3.77658994607844,2
"268",268,-1.33479653616051,2
"269",269,2.71159686197229,2
"270",270,-0.197323059455667,2
"271",271,1.5277702157607,2
"272",272,1.14843380064296,2
"273",273,0.625553020814975,2
"274",274,1.85720356310784,2
"275",275,-0.085740688039103,2
"276",276,1.86790496213172,-2
"277",277,-3.7808890422679,-2
"278",278,1.45962484375188,-2
"279",279,-2.86536186130794,-2
"280",280,-0.041046908436069,-2
"281",281,-1.41285859058307,-2
"282",282,-1.19518964838603,-2
"283",283,-0.617291908921414,-2
"284",284,-1.67514269297841,-2
"285",285,-0.0248733216545552,-2
"286",286,-2.07533376698556,-2
"287",287,-0.149309846010542,-2
"288",288,-1.88113845943173,-2
"289",289,-0.581835489346391,-2
"290",290,-1.30450950346239,-2
"291",291,-0.817694806780332,-2
"292",292,-1.00659980937688,-2
"293",293,-1.10975683094934,-2
"294",294,-0.818441660325868,-2
"295",295,-1.24523409584455,-2
"296",296,-0.616497183101077,2
"297",297,2.73684611841107,2
"298",298,-0.218642535068599,2
"299",299,2.11278235227742,2
"300",300,0.235909640679207,2
"301",301,1.13123399896761,2
"302",302,1.190349470954,2
"303",303,0.694272550784087,2
"304",304,1.32312800539108,2
"305",305,0.389985015691918,2
"306",306,1.60511284175075,-2
"307",307,-3.37929947888795,-2
"308",308,0.949920421128331,-2
"309",309,-2.50877777394458,-2
"310",310,-0.240347760931665,-2
"311",311,-1.33778137907248,2
"312",312,2.97805421233299,2
"313",313,-0.140169017829858,2
"314",314,1.57736262556055,2
"315",315,1.1782208864515,2
"316",316,0.387381963588609,-2
"317",317,-2.17556938019937,-2
"318",318,-0.534187602385579,-2
"319",319,-1.09829106686641,-2
"320",320,-1.19328207958963,-2
"321",321,-0.457736864119435,-2
"322",322,-1.86973967255185,-2
"323",323,-0.432648981155809,-2
"324",324,-1.8206909767596,-2
"325",325,-0.475970249706162,-2
"326",326,-1.4701523001054,2
"327",327,3.41391761649446,2
"328",328,-0.661498142046056,2
"329",329,2.4126563911493,2
"330",330,0.313733690488969,2
"331",331,1.33672199708201,-2
"332",332,-2.68875940456173,-2
"333",333,0.0756061588727825,-2
"334",334,-1.49934730796344,-2
"335",335,-0.989439991224557,-2
"336",336,-0.600093676576257,-2
"337",337,-1.88514781390741,-2
"338",338,-0.0624439545064827,-2
"339",339,-1.9248453675918,-2
"340",340,-0.235523070904049,-2
"341",341,-1.82869757885995,-2
"342",342,-0.643505358926918,-2
"343",343,-1.36442857827296,-2
"344",344,-0.802677031907358,-2
"345",345,-1.22882973107792,-2
"346",346,-1.23828289597787,2
"347",347,3.17536577153544,2
"348",348,-0.781511167163017,2
"349",349,2.53164011463434,2
"350",350,0.123520705788802,2
